model,dataset,Om,Om_err,H0,H0_err,Ok,w0,wa
LCDM,CMB,0.3169,0.0065,67.14,0.47,,,
LCDM,DESI,0.2975,0.0066,68.50,0.70,,,
LCDM,DESI+BBN,0.2967,0.0068,68.45,0.47,,,
LCDM,DESI+CMB,0.3027,0.0066,68.17,0.28,,,
LCDM+Ok,CMB,0.354,0.028,63.3,2.1,-0.17,,
LCDM+Ok,DESI,0.293,0.012,69.1,4.1,0.23,,
LCDM+Ok,DESI+CMB,0.3034,0.0057,68.50,1.3,0.03,,
wCDM,CMB,0.296,0.008,65.8,1.1,,-1.55,
wCDM,DESI,0.2999,0.009,69.1,0.9,,-0.92,
wCDM,DESI+CMB,0.297,0.007,69.51,0.92,,-0.93,
w0waCDM,CMB,0.292,0.011,65.3,2.1,,-1.21,-0.54
w0waCDM,DESI,0.279,0.015,70.1,1.7,,-0.78,-0.19
w0waCDM,DESI+CMB,0.283,0.010,67.71,1.1,,-0.93,-0.42
w0waCDM+Ok,CMB,0.357,0.084,67.0,4.1,-1.4,-2.56,-0.45
w0waCDM+Ok,DESI,0.317,0.020,69.2,2.0,-0.02,-0.78,-0.13
w0waCDM+Ok,DESI+CMB,0.323,0.012,67.0,1.5,-0.03,-0.97,-0.28

